38698320	3272	3246	3271.448986
38699775	2549	2514	2548.666564
38700723	2067	2048	2066.780242
38701244	1803	1791	1802.83258
38702208	1320	1310	1319.910306
38702922	961	955	960.9524278
38703455	695	688	694.9751663
38703842	505	491	504.9870047
38704050	397	391	396.9919174
38704152	344	342	343.993903
38704115	365	358	364.9931819
38704328	256	254	255.9966268
38166062	1004	995	1003.947417
38166194	941	926	940.9539708
38166297	888	876	887.9589596
38166368	850	843	849.962297
38166369	853	839	852.9621863
38166502	785	774	784.9679361
38166910	578	573	577.9825698
38166742	663	656	662.9770883
38166917	574	570	573.9827957
38166814	627	620	626.9795151
38166466	802	793	801.9664853
38165875	1097	1089	1096.937172
38209846	4597	4537	4595.901357
38209912	4561	4507	4559.917837
38213370	2822	2788	2821.585771
38214840	2086	2054	2085.774038
38216082	1467	1431	1466.888763
38216431	1280	1269	1279.914631
38217467	760	753	759.9699134
38217777	605	598	604.9809567
38218083	451	446	450.989415
38217971	509	500	508.9865621
38217542	727	711	726.9726464
38217309	842	829	841.9631863
39500250	3590	3530	3589.353012
39499662	3884	3824	3883.242221
39500682	3368	3320	3367.429849
39502245	2581	2544	2580.665186
39502854	2278	2238	2277.739607
39504335	1523	1512	1522.883001
39504685	1346	1339	1345.908523
39504854	1264	1252	1263.919503
39505096	1147	1127	1146.93398
39505158	1116	1096	1115.937516
39504890	1249	1231	1248.921596
39505162	1115	1093	1114.937685
39504029	1682	1659	1681.857759
39505009	1188	1173	1187.929004
39505535	924	911	923.9570829
39506019	681	670	680.9767124
39506365	507	498	506.9871028
39506579	396	395	395.9920715
39506738	317	315	316.9949289
39506706	334	330	333.9943865
39506695	338	337	337.9942251
39506518	431	421	430.9907052
39506389	494	487	493.9877336
39506255	562	553	561.9841389
